,avg_screens,budget,budget_currency,closing_date,critic_review_count,duration,gross_income,max_screens,metascore,name,num_weekends,opening_weekend_date,opening_weekend_income,opening_weekend_income_currency,rating,rating_count,release_day,release_month,release_year,user_review_count,year,avg_rating_per_demo.aged_18-29,avg_rating_per_demo.aged_30-44,avg_rating_per_demo.aged_45+,avg_rating_per_demo.aged_under_18,avg_rating_per_demo.females,avg_rating_per_demo.females_aged_18-29,avg_rating_per_demo.females_aged_30-44,avg_rating_per_demo.females_aged_45+,avg_rating_per_demo.females_under_18,avg_rating_per_demo.imdb_staff,avg_rating_per_demo.imdb_users,avg_rating_per_demo.males,avg_rating_per_demo.males_aged_18-29,avg_rating_per_demo.males_aged_30-44,avg_rating_per_demo.males_aged_45+,avg_rating_per_demo.males_under_18,avg_rating_per_demo.non-us_users,avg_rating_per_demo.top_1000_voters,avg_rating_per_demo.us_users,votes_per_demo.aged_18-29,votes_per_demo.aged_30-44,votes_per_demo.aged_45+,votes_per_demo.aged_under_18,votes_per_demo.females,votes_per_demo.females_aged_18-29,votes_per_demo.females_aged_30-44,votes_per_demo.females_aged_45+,votes_per_demo.females_under_18,votes_per_demo.imdb_staff,votes_per_demo.imdb_users,votes_per_demo.males,votes_per_demo.males_aged_18-29,votes_per_demo.males_aged_30-44,votes_per_demo.males_aged_45+,votes_per_demo.males_under_18,votes_per_demo.non-us_users,votes_per_demo.top_1000_voters,votes_per_demo.us_users,rating_freq.1,rating_freq.10,rating_freq.2,rating_freq.3,rating_freq.4,rating_freq.5,rating_freq.6,rating_freq.7,rating_freq.8,rating_freq.9,genres.action,genres.adventure,genres.animation,genres.biography,genres.comedy,genres.crime,genres.drama,genres.family,genres.fantasy,genres.history,genres.horror,genres.music,genres.mystery,genres.romance,genres.sci-fi,genres.sport,genres.thriller,genres.war,genres.western
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,93.33333333333333,28000000.0,$,2015-02-20,120.0,81.0,66950483.0,157.0,54.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3.0,2014-10-10,18360230.0,$,6.2,31521.0,10.0,October,2014.0,86.0,2014.0,6.3,6.1,6.2,6.5,6.5,6.5,6.4,6.6,7.1,7.0,6.2,6.1,6.2,6.0,6.1,6.1,6.1,5.5,6.3,11905.0,9955.0,2391.0,273.0,6955.0,3719.0,2063.0,450.0,106.0,1.0,31521.0,19035.0,8032.0,7759.0,1892.0,163.0,14274.0,240.0,4684.0,593.0,1879.0,393.0,654.0,1692.0,4484.0,9222.0,8090.0,3413.0,1101.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1308.6666666666667,37000000.0,$,2015-07-17,142.0,105.0,20991497.0,2815.0,40.0,Aloha,6.0,2015-05-29,9670235.0,$,5.4,43551.0,29.0,May,2015.0,177.0,2015.0,5.5,5.3,5.5,5.9,5.5,5.5,5.4,5.7,6.1,5.8,5.4,5.4,5.5,5.3,5.5,5.7,5.4,4.8,5.3,15843.0,13886.0,3703.0,191.0,12141.0,6458.0,3862.0,887.0,97.0,4.0,43551.0,23111.0,9191.0,9793.0,2755.0,91.0,19379.0,256.0,6938.0,1821.0,1870.0,1586.0,2692.0,5059.0,9137.0,10342.0,6817.0,3139.0,1088.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,1199.3333333333333,18000000.0,$,2014-09-26,109.0,94.0,15155772.0,1816.0,38.0,And So It Goes,3.0,2014-07-25,4642329.0,$,5.8,9590.0,25.0,July,2014.0,50.0,2014.0,5.7,5.6,6.0,5.8,5.8,5.8,5.7,6.2,6.4,7.0,5.8,5.7,5.7,5.6,5.9,5.3,5.7,4.9,5.7,2152.0,3537.0,1986.0,24.0,3066.0,1046.0,1213.0,606.0,9.0,1.0,9590.0,4960.0,1077.0,2266.0,1346.0,15.0,4618.0,164.0,1585.0,247.0,373.0,185.0,411.0,782.0,1847.0,2864.0,1845.0,791.0,245.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14,3185.0,6500000.0,$,2014-12-12,275.0,99.0,84263837.0,3185.0,37.0,Annabelle,1.0,2014-10-03,37134255.0,$,5.4,88368.0,3.0,October,2014.0,301.0,2014.0,5.4,5.3,5.3,5.5,5.5,5.5,5.4,5.6,6.1,5.8,5.4,5.3,5.4,5.3,5.3,5.3,5.3,4.9,5.3,37610.0,23453.0,4052.0,717.0,17609.0,10316.0,4547.0,823.0,247.0,4.0,88368.0,53802.0,26972.0,18577.0,3170.0,467.0,36678.0,363.0,10676.0,4052.0,4845.0,3307.0,5833.0,10380.0,17817.0,20434.0,13014.0,6178.0,2508.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
15,1338.578947368421,130000000.0,$,2015-12-11,528.0,117.0,180191634.0,3868.0,64.0,Ant-Man,19.0,2015-07-17,57225526.0,$,7.3,352059.0,17.0,July,2015.0,564.0,2015.0,7.4,7.2,7.3,7.9,7.4,7.5,7.3,7.5,8.1,7.2,7.3,7.3,7.4,7.2,7.3,7.8,7.2,6.9,7.5,130133.0,97636.0,18609.0,3050.0,39170.0,21492.0,11194.0,2437.0,577.0,39.0,352059.0,229224.0,107235.0,85009.0,15841.0,2444.0,143623.0,629.0,42436.0,3021.0,30805.0,1516.0,2386.0,4669.0,13471.0,41602.0,104787.0,108440.0,41362.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1534.0,5000000.0,$,2014-10-03,196.0,93.0,21197315.0,2640.0,38.0,"As Above, So Below",2.0,2014-08-29,10284110.0,$,6.2,53883.0,29.0,August,2014.0,219.0,2014.0,6.4,6.0,5.7,6.8,6.4,6.5,6.2,5.9,6.9,6.3,6.2,6.1,6.3,6.0,5.7,6.8,6.1,5.1,6.2,20142.0,18396.0,3622.0,240.0,10031.0,5456.0,3212.0,573.0,82.0,5.0,53883.0,34712.0,14463.0,14927.0,2982.0,157.0,24644.0,326.0,8288.0,1235.0,3481.0,1115.0,1948.0,3625.0,7054.0,12497.0,12988.0,7201.0,2739.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,65.0,5000000.0,$,2014-09-26,12.0,99.0,830210.0,65.0,9.0,Atlas Shrugged: Part III,1.0,2014-09-12,461179.0,$,4.4,2066.0,,,,56.0,2014.0,4.1,4.0,4.9,1.0,4.7,4.6,4.2,5.1,,,4.4,4.3,4.0,4.0,4.9,1.0,4.0,3.1,4.5,300.0,748.0,612.0,1.0,217.0,50.0,82.0,75.0,,,2066.0,1500.0,247.0,659.0,529.0,1.0,640.0,73.0,749.0,407.0,341.0,171.0,162.0,212.0,241.0,204.0,141.0,109.0,78.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
19,1541.7894736842106,250000000.0,$,2015-10-02,649.0,141.0,458991599.0,4276.0,66.0,Avengers: Age of Ultron,19.0,2015-05-01,191271109.0,$,7.4,499995.0,1.0,May,2015.0,1128.0,2015.0,7.5,7.3,7.3,7.9,7.7,7.8,7.5,7.5,8.5,7.1,7.4,7.4,7.5,7.2,7.3,7.8,7.3,6.7,7.5,191240.0,128237.0,23387.0,4628.0,59181.0,33291.0,15829.0,3418.0,1012.0,42.0,499995.0,317959.0,156024.0,110546.0,19556.0,3579.0,192177.0,641.0,58576.0,7708.0,71064.0,3052.0,4627.0,8659.0,21529.0,57340.0,124137.0,131462.0,70417.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
